"","Rating","Age","Income","Cards","Education","Loans"
"281","bad",22,2,2,2,2
"1533","good",26,3,2,2,2
"1501","good",54,3,2,1,2
"1535","good",32,3,2,2,2
"2118","good",40,3,2,1,2
"1575","good",32,3,2,1,2
"24","bad",43,2,2,2,2
"572","bad",36,1,2,1,2
"1636","good",34,3,1,2,1
"1263","good",35,2,1,1,1
"1703","good",30,2,1,1,1
"1337","good",31,3,1,2,1
"694","bad",27,2,2,1,2
"2264","good",31,2,2,2,2
"717","bad",34,2,1,1,1
"2051","good",46,2,1,2,1
"701","bad",29,1,2,1,2
"653","bad",34,2,2,1,2
"457","bad",41,2,2,1,2
"568","bad",22,1,2,1,2
"774","bad",25,2,2,2,2
"740","bad",21,1,2,1,2
"389","bad",25,2,2,2,2
"98","bad",31,1,2,1,2
"534","bad",27,1,2,1,2
"1978","good",24,3,2,1,2
"1282","good",51,3,2,1,2
"2230","good",42,3,2,1,2
"2026","good",25,2,2,2,2
"112","bad",23,1,2,2,2
"1111","good",37,2,2,1,2
"646","bad",44,1,2,2,2
"741","bad",38,3,2,2,2
"1234","good",42,2,1,1,1
"441","bad",30,1,2,2,1
"1846","good",42,3,2,1,2
"489","bad",21,2,2,1,2
"629","bad",27,1,2,2,2
"2407","good",35,2,1,1,1
"1958","good",32,2,2,1,1
"1342","good",30,1,1,2,1
"1567","good",48,2,2,2,2
"756","bad",39,2,2,2,2
"1506","good",39,2,1,2,1
"799","bad",31,1,2,2,1
"1215","good",38,2,2,2,2
"1638","good",39,1,1,2,1
"1173","good",57,2,1,1,1
"590","bad",20,1,2,1,2
"1849","good",32,2,1,1,1
"179","bad",42,2,2,2,2
"748","bad",43,1,2,1,2
"1731","good",36,3,2,1,2
"1217","good",28,2,1,2,1
"369","bad",27,2,2,1,2
"1214","good",43,2,2,1,2
"1190","good",40,3,2,2,2
"1809","good",58,2,2,2,2
"421","bad",23,1,2,1,2
"2041","good",26,3,1,2,1
"2080","good",27,2,2,2,2
"101","bad",27,2,1,1,1
"762","bad",36,2,2,1,2
"34","bad",33,2,2,1,2
"574","bad",34,2,1,1,1
"1695","good",45,2,2,2,2
"739","bad",22,1,1,2,2
"1219","good",33,3,2,1,1
"124","bad",32,1,2,1,2
"1353","good",51,2,2,1,2
"291","bad",23,3,2,1,2
"2137","good",35,3,1,1,1
"35","bad",28,3,2,1,1
"1873","good",26,3,1,2,1
"216","bad",27,2,2,2,2
"1241","good",31,3,1,1,1
"918","bad",33,3,2,1,2
"168","bad",40,1,2,2,2
"766","bad",40,1,2,2,2
"1595","good",33,3,1,2,1
"2209","good",47,2,2,2,2
"1125","good",38,2,1,2,1
"340","bad",29,1,2,1,2
"1296","good",48,3,2,1,2
"467","bad",37,1,2,2,2
"2138","good",39,2,1,2,1
"927","bad",31,3,2,2,2
"2398","good",33,2,1,2,1
"381","bad",23,2,2,1,2
"2129","good",44,2,1,2,1
"396","bad",42,1,2,1,2
"2393","good",31,3,2,2,1
"319","bad",31,2,2,1,2
"313","bad",41,2,2,1,1
"250","bad",21,2,1,2,1
"1212","good",37,3,2,2,2
"711","bad",31,1,2,1,2
"64","bad",22,1,2,2,2
"733","bad",31,1,2,1,2
"1756","good",30,3,1,2,1
"84","bad",30,2,2,2,2
"1336","good",24,2,2,1,2
"662","bad",20,2,2,1,2
"483","bad",27,2,2,1,2
"316","bad",21,2,2,1,2
"769","bad",40,1,2,1,2
"366","bad",37,3,2,2,2
"307","bad",29,1,2,2,1
"1027","good",42,3,2,1,1
"92","bad",22,2,2,2,2
"1680","good",27,3,1,1,1
"238","bad",25,2,2,1,2
"2236","good",62,2,2,1,2
"287","bad",29,2,2,2,2
"517","bad",23,2,2,1,2
"2145","good",27,3,2,2,2
"2221","good",22,3,2,1,2
"656","bad",21,1,1,1,1
"290","bad",39,1,2,2,2
"1870","good",28,2,2,2,2
"1745","good",34,3,1,1,1
"2147","good",34,2,1,1,1
"2330","good",25,3,2,1,2
"2207","good",26,2,2,1,2
"1138","good",28,3,1,2,1
"664","bad",24,1,2,1,2
"589","bad",32,2,2,2,1
"1177","good",49,3,2,2,2
"1161","good",41,3,1,2,1
"744","bad",24,1,2,2,2
"2246","good",45,2,1,2,1
"1480","good",26,3,2,1,1
"298","bad",36,2,2,1,2
"987","bad",41,3,2,1,1
"2131","good",43,3,1,2,1
"1090","good",41,3,1,2,1
"2115","good",28,3,1,1,1
"1391","good",44,2,2,2,2
"1470","good",31,2,2,2,2
"2021","good",48,3,2,2,2
"1169","good",21,2,1,2,1
"2285","good",38,3,2,2,1
"754","bad",42,1,2,1,2
"1118","good",37,3,1,1,1
"829","bad",28,3,2,1,2
"1456","good",40,2,1,2,1
"1720","good",34,2,1,2,1
"1312","good",33,3,1,1,1
"2272","good",39,2,1,2,1
"2363","good",39,2,1,1,1
"1016","bad",22,2,2,1,2
"529","bad",37,3,2,1,2
"190","bad",24,2,2,1,2
"1965","good",25,3,1,2,1
"543","bad",29,1,2,1,2
"2282","good",27,2,1,2,2
"1390","good",44,2,2,2,2
"2305","good",31,3,2,1,2
"867","bad",44,2,2,1,2
"1280","good",33,3,2,1,2
"990","bad",31,2,2,2,2
"1327","good",36,3,2,1,1
"996","bad",41,2,2,2,2
"518","bad",34,2,2,1,2
"196","bad",44,1,2,2,2
"1466","good",35,2,1,1,1
"991","bad",29,2,2,2,1
"2387","good",39,3,1,1,1
"1843","good",28,3,2,1,2
"747","bad",25,1,2,2,1
"1738","good",37,3,2,1,2
"1340","good",45,2,1,1,2
"1625","good",30,3,2,2,2
"979","bad",26,2,2,2,2
"787","bad",36,2,2,2,2
"2294","good",34,2,2,1,2
"971","bad",35,2,2,2,2
"1283","good",35,3,2,2,2
"266","bad",25,1,1,1,1
"693","bad",24,1,2,2,2
"1094","good",28,2,1,2,1
"788","bad",22,2,2,2,2
"1371","good",39,2,1,2,1
"174","bad",41,2,1,2,1
"2180","good",33,2,1,2,1
"51","bad",37,1,2,1,2
"1918","good",50,2,2,2,2
"1441","good",47,3,2,2,2
"706","bad",47,2,2,1,2
"1690","good",33,2,2,1,2
"1453","good",33,3,2,2,2
"2256","good",41,2,2,1,1
"292","bad",33,1,2,2,2
"2006","good",39,2,1,1,1
"1839","good",29,1,1,2,1
"1865","good",47,3,2,2,2
"1894","good",37,2,1,1,1
"1662","good",28,3,2,2,2
"2228","good",57,2,2,1,2
"1448","good",26,3,2,2,2
"1496","good",36,2,1,2,1
"1196","good",41,2,2,2,2
"719","bad",26,2,2,2,2
"1737","good",37,2,1,2,1
"2408","good",42,3,2,1,2
"1655","good",34,2,1,1,1
"695","bad",24,2,2,1,2
"913","bad",30,1,2,2,2
"462","bad",24,2,2,1,2
"2223","good",22,3,2,2,2
"1277","good",43,3,1,2,1
"632","bad",27,1,2,1,2
"417","bad",22,3,2,1,1
"1707","good",28,2,2,1,2
"1276","good",46,1,1,1,1
"2097","good",22,3,1,2,1
"1436","good",30,3,2,1,2
"2459","good",25,3,1,1,1
"1077","good",30,2,1,2,1
"1909","good",40,3,1,1,1
"948","bad",34,3,1,1,1
"71","bad",25,1,2,2,2
"579","bad",38,1,2,2,2
"751","bad",29,2,2,1,2
"300","bad",22,1,2,1,2
"1119","good",28,3,2,2,2
"1796","good",26,3,2,1,2
"755","bad",35,1,2,2,2
"2340","good",46,2,2,2,2
"1106","good",28,3,1,1,1
"1781","good",29,3,2,2,2
"1267","good",34,3,1,1,2
"239","bad",27,1,2,2,2
"1802","good",23,3,2,1,2
"1265","good",44,3,1,1,1
"474","bad",28,3,1,1,1
"1671","good",53,2,2,1,2
"685","bad",30,1,2,2,2
"2329","good",45,3,1,2,1
"2203","good",34,3,2,2,2
"944","bad",27,1,2,1,2
"544","bad",28,2,2,2,2
"2361","good",40,2,2,2,2
"1531","good",38,3,1,1,1
"2177","good",38,2,2,1,2
"1059","good",38,2,2,2,2
"1716","good",43,3,1,2,1
"1274","good",47,2,1,1,1
"2141","good",40,2,2,2,2
"1766","good",34,3,2,2,2
"1178","good",40,3,1,2,1
"1321","good",46,3,2,1,2
"584","bad",28,2,2,2,1
"619","bad",50,1,2,2,2
"144","bad",29,1,2,1,2
"1244","good",36,2,1,2,1
"580","bad",36,1,2,2,1
"8","bad",35,1,2,1,2
"1301","good",30,2,1,2,1
"1147","good",46,2,1,2,1
"1862","good",32,3,2,2,2
"66","bad",36,2,2,1,2
"2213","good",43,3,2,1,2
"591","bad",23,2,2,1,2
"2286","good",41,3,1,2,1
"222","bad",30,2,2,2,1
"1645","good",44,2,1,1,1
"36","bad",21,2,2,2,2
"109","bad",30,1,2,1,2
"1642","good",53,3,2,1,2
"784","bad",26,1,2,1,2
"1665","good",29,2,2,1,2
"825","bad",34,2,2,2,2
"1752","good",28,2,1,2,1
"57","bad",46,2,2,2,1
"1109","good",35,3,2,2,2
"1797","good",40,2,1,1,1
"1192","good",37,2,1,1,1
"583","bad",31,1,2,1,2
"2322","good",36,1,1,2,1
"807","bad",25,2,1,1,1
"938","bad",26,2,2,2,2
"2005","good",23,2,2,2,2
"1711","good",50,3,1,1,1
"1609","good",40,3,2,1,2
"612","bad",23,2,2,2,2
"995","bad",30,2,1,1,1
"626","bad",27,1,2,2,2
"1516","good",25,3,1,1,1
"1786","good",33,3,2,2,2
"1425","good",27,1,1,1,1
"899","bad",21,1,2,1,2
"2068","good",33,2,2,2,2
"528","bad",32,2,2,2,2
"2202","good",32,2,1,1,1
"1644","good",23,3,1,1,1
"1504","good",34,2,1,1,2
"251","bad",27,1,2,2,2
"1378","good",25,2,2,1,2
"670","bad",41,2,2,1,2
"764","bad",26,2,2,1,2
"2122","good",22,2,2,1,2
"1166","good",51,2,1,1,1
"960","bad",31,1,2,2,2
"2449","good",41,2,2,2,2
"977","bad",55,3,2,2,2
"412","bad",24,1,2,1,2
"2139","good",58,3,1,2,2
"1183","good",37,2,1,2,1
"1657","good",52,2,2,2,2
"1968","good",41,1,1,2,1
"1469","good",46,3,1,1,1
"877","bad",23,1,2,1,2
"2152","good",39,2,2,1,2
"315","bad",27,1,2,2,2
"423","bad",27,2,2,1,2
"413","bad",23,1,2,2,2
"2151","good",33,3,2,2,2
"2413","good",33,3,2,2,2
"1791","good",43,3,1,2,1
"426","bad",36,1,2,2,2
"1847","good",35,3,1,1,1
"851","bad",28,1,2,1,2
"329","bad",34,1,2,2,1
"727","bad",24,2,2,2,2
"786","bad",38,2,2,1,2
"914","bad",52,1,2,1,2
"399","bad",34,1,2,1,2
"1406","good",32,2,2,2,1
"1966","good",53,2,1,2,1
"2423","good",32,3,2,1,2
"1882","good",41,2,2,1,2
"2033","good",45,2,2,2,2
"416","bad",35,1,1,2,1
"1007","bad",29,1,2,2,2
"822","bad",32,1,2,1,2
"797","bad",33,2,2,1,1
"60","bad",24,2,2,1,2
"1976","good",36,3,2,1,2
"873","bad",37,2,2,1,2
"2031","good",34,2,1,2,1
"578","bad",28,2,2,2,2
"1098","good",35,2,1,2,1
"2075","good",25,1,2,2,2
"2194","good",31,2,1,1,1
"658","bad",26,2,2,1,2
"73","bad",28,1,2,1,1
"1414","good",30,2,1,2,1
"1949","good",29,2,2,1,2
"96","bad",37,2,2,1,2
"2144","good",58,2,2,2,2
"1572","good",35,2,2,2,2
"276","bad",26,2,2,2,2
"1497","good",33,2,1,2,1
"2108","good",26,3,2,1,2
"1991","good",31,1,1,2,1
"1250","good",32,1,2,1,1
"1541","good",25,2,1,1,2
"1026","good",28,3,2,1,2
"1617","good",38,3,1,1,1
"7","bad",32,2,2,2,2
"1174","good",49,2,1,1,1
"968","bad",41,3,2,1,2
"2323","good",46,2,2,1,2
"1755","good",33,2,2,2,2
"2053","good",25,2,2,2,2
"1386","good",27,3,2,1,2
"490","bad",38,3,2,1,2
"1718","good",37,1,2,2,2
"1519","good",47,3,1,1,1
"2045","good",52,3,1,1,1
"555","bad",27,1,2,2,2
"2270","good",32,2,1,2,1
"1021","good",57,3,1,1,1
"639","bad",28,2,2,2,2
"826","bad",29,1,2,2,1
"1586","good",32,3,1,2,1
"211","bad",32,2,2,1,1
"879","bad",25,1,2,1,2
"1372","good",36,3,2,1,2
"616","bad",20,1,2,1,1
"430","bad",32,1,2,2,2
"5","bad",37,2,2,2,2
"225","bad",24,1,2,1,2
"447","bad",38,2,1,2,1
"240","bad",41,2,2,1,2
